Item No.,Item No. on PDCA,Car Maker,Car Model,Line,Findings,Items to Check/Action,Department,Person in Charge,Status,Target Date,,,
156,2,SUZUKI,YD1 Floor,5119,Damaged wire catcher on sub PC machine,Request to repair all damaged wire catcher.,PE-FABRICATION,M. Carandang,OPEN,,,,
157,3,SUZUKI,YD1 Floor,5119,No protective cover on sub hanger,Request to improve design by adding side cover on catcher.,PE-FABRICATION,M. Carandang,OPEN,,,,
158,8,SUZUKI,YD1 Floor,5119,Not updated/'Lacking OI on assy board,OI Posting,ME-NPI (MPPD),April,OPEN,17-Jul-23,,,
159,13,SUZUKI,YD1 Floor,5119,Damaged wire catcher on Assy  Board,Request to repair all damaged wire catcher.,PE-FABRICATION, M. Carandang,OPEN,,,,
160,14,SUZUKI,YD1 Floor,5119,Wrong color of tanmatsu installed on assembly jig.,Request for correct color of tanmatsu to be installed on assy jig.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
161,15,SUZUKI,YD1 Floor,5119,Damaged rubber tanmatsu on assy board,Request for new  tanmatsu to be installed on assy jig.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
162,16,SUZUKI,YD1 Floor,5119,Loose lockset on assy board,Request to change all loose lockset on assy board.,PE-BAE (Maintenance),,OPEN,,,,
163,17,SUZUKI,YD1 Floor,5119,All board does not have assy jig cover,Provide assy jig cover for all boards,PE-BAE (ASSY DEV),,OPEN,,,,
164,19,SUZUKI,YD1 Floor,5119,Missing tanmatsu on Conn. 6,Request to install tanmatsu for all missing.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
165,23,SUZUKI,YD1 Floor,5119,No Workload division on Dimension Inspection,Put division of workload on Dimension Board.,QA-Final ,,OPEN,,,,
166,24,SUZUKI,YD1 Floor,5119,"Missing nuts,screw, spring on conn TSN-2F at ECT Process.",Request to fix and install all missing.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
167,25,SUZUKI,YD1 Floor,5119,Damaged tape box on option taping,Request to repair all damage tape box.,PE-FABRICATION, M. Carandang,OPEN,,,,
168,29,SUZUKI,YD1 Floor,5119,NG / Missing wings on ECT jigs,Request new wings of ECT jig,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
169,30,SUZUKI,YD1 Floor,5119,Lacking connector picture label on Sub PC,Provide conector picture label on Sub Assy jig.,PE-FABRICATION,,OPEN,,,,
170,31,SUZUKI,YD1 Floor,5119,"Grommet expansion diameter, Good and No Good criteria of grommet inner mounting, 50mm rolling down tape (fixing taping), and precautions of wire biting not indicated in OI.","Include Grommet expansion diameter, Good and No Good criteria of grommet inner mounting, 50mm rolling down tape (fixing taping), and precautions of wire biting not indicated in OI.",ME-NPI (MPPD),April,OPEN,28-Jul-23,,,
171,32,SUZUKI,YD1 Floor,5119,Non-compliance of associate in conducting slightly pulling 3x of grommet.,Re-orient associate on conducting 3x pulling of grommet,ME-NPI (MPPD),April,OPEN,18-Jul-23,,,
172,33,SUZUKI,YD1 Floor,5119,Not all jigs are pokayoke,Acceptable due to No Budget,PE-BAE (ASSY DEV),K. De Grano,Lack of budget,19-Jul-23,,,
173,34,SUZUKI,YD1 Floor,5119,Confirm if spacer is necessary for toridashi jigs.,Verify if spacer is necessary for toridashi jigs.,PE-BAE (ASSY DEV),,OPEN,29-Jul-23,,,
174,38,SUZUKI,YD1 Floor,5119,Through clamp detected even if half fitting.,Fix detection checker jig on ECT.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
175,42,SUZUKI,YD1 Floor,5119,Wrong OI of fixing taping on grommet tail. Indicate how many rounds would be apply.,Post the correct OI and indicate how many rounds would be applied on fixing taping on grommet tail.,ME-NPI (MPPD),,OPEN,22-May-23,,,
176,2,SUZUKI,YD1 Floor,5124,Damaged wire catcher on sub PC machine,Request to repair all damaged wire catcher.,PE-FABRICATION,M. Carandang,OPEN,,,,
177,3,SUZUKI,YD1 Floor,5124,No protective cover on sub hanger,Request to improve design by adding side cover on catcher.,PE-FABRICATION,M. Carandang,OPEN,,,,
178,8,SUZUKI,YD1 Floor,5124,Not updated/Lacking OI on assy board,OI Posting,ME-NPI (MPPD),April,OPEN,17-Jul-23,,,
179,10,SUZUKI,YD1 Floor,5124,Lacking tupperbox on parts distribution station,Provide tupperbox,PE-FABRICATION, M. Carandang,OPEN,,,,
180,12,SUZUKI,YD1 Floor,5124,Damaged wire catcher on Assy  Board,Request to repair all damaged wire catcher.,PE-FABRICATION, M. Carandang,OPEN,,,,
181,13,SUZUKI,YD1 Floor,5124,Wrong color of tanmatsu installed on assembly jig.,Request for correct color of tanmatsu to be installed on assy jig.,PE-BAE (Maintenance),Shawn,OPEN,28-Aug-23,,,
182,14,SUZUKI,YD1 Floor,5124,Loose lockset on assy board,Request to change all loose lockset on assy board.,PE-BAE (Maintenance),Shawn,OPEN,28-Aug-23,,,
183,15,SUZUKI,YD1 Floor,5124,All board does not have assy jig cover,Request to install cover to all assembly jigs. (Lack of budget),PE-BAE (Maintenance),,OPEN,,,,
184,17,SUZUKI,YD1 Floor,5124,Missing tanmatsu on Conn. 6,Request to install tanmatsu for all missing.,PE-BAE (Maintenance),,OPEN,,,,
185,21,SUZUKI,YD1 Floor,5124,No Workload division on Dimension Inspection,Put division of workload on Dimension Board.,QA-Final ,,OPEN,,,,
186,22,SUZUKI,YD1 Floor,5124,"Missing nuts,screw, spring on conn TSN-2F at ECT Process.",Request to fix and install all missing.,PE-BAE (Maintenance),Shawn,OPEN,28-Aug-23,,,
187,23,SUZUKI,YD1 Floor,5124,Damaged tape box on option taping,Request to repair all damaged tape box.,PE-FABRICATION,M. Carandang,OPEN,,,,
188,26,SUZUKI,YD1 Floor,5124,Lacking connector picture label on Sub PC,Provide conector picture label on Sub Assy jig.,PE-FABRICATION,,OPEN,,,,
189,27,SUZUKI,YD1 Floor,5124,"Grommet expansion diameter, Good and No Good criteria of grommet inner mounting, 50mm rolling down tape (fixing taping), and precautions of wire biting not indicated in OI.","Include Grommet expansion diameter, Good and No Good criteria of grommet inner mounting, 50mm rolling down tape (fixing taping), and precautions of wire biting not indicated in OI.",ME-NPI (MPPD),April,OPEN,28-Jul-23,,,
190,28,SUZUKI,YD1 Floor,5124,Non-compliance of associate in conducting slightly pulling 3x of grommet.,Re-orient associate on conducting 3x pulling of grommet,ME-NPI (MPPD),April,OPEN,18-Jul-23,,,
191,29,SUZUKI,YD1 Floor,5124,Not all jigs are pokayoke,Acceptable due to No Budget,PE-BAE (ASSY DEV),K. De Grano,Lack of budget,19-Jul-23,,,
192,30,SUZUKI,YD1 Floor,5124,Confirm if spacer is necessary for toridashi jigs.,Verify if spacer is necessary for toridashi jigs.,PE-BAE (ASSY DEV),,OPEN,,,,
193,34,SUZUKI,YD1 Floor,5124,Through clamp detected even if half fitting.,Fix detection checker jig on ECT.,PE-BAE (Maintenance),Shawn,OPEN,28-Aug-23,,,
194,7,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,Faded picture connector.,Request to change faded picture conn.,PE-FABRICATION,,OPEN,,,,
195,10,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No OI for item 1-011-E on assy process on product 36843,Request to provide OI.,ME-NPI (MPPD),A. De Guzman,OPEN,19-Jul-23,,,
196,14,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No lockset on connector jig DSL-3F due to available jig was common jig.,Request to modified jig into receiving jig.,PE-BAE (ASSY DEV),,OPEN,,,,
197,15,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No available bendable cover for bendable jig on assy board.,Request to provide bendable cover for bendable jig.,PE-BAE (Maintenance),,OPEN,,,,
198,18,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No lockset on connector jig on product 36757/36751,Request to provide lockset.,PE-BAE (Maintenance),Shawn,OPEN,14-Aug-23,,,
199,19,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,"No reference picture connector for similar conn.18, 19, 45 and 44 on dimension process.",Request to provide picture of same connector on dimension table.,QA-Final ,,OPEN,,,,
200,21,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,Common jig to receiving jig.,Request to modified all jig on assy process.,PE-BAE (ASSY DEV),,OPEN,,,,
201,24,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No provided holder for alignment jig ,Request to provide holder for alignment jig.,PE-EQ-FINAL,,OPEN,,,,
202,25,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,"Not updated OI  on product 36756 008-C-E, 009-C-E,0010-C-E,0011-C-E, 0012-C-E, 0013-C-E, 0014-C-E/ 0015-E, 0016-E, 0017-E",Requesto update OI,ME-NPI (MPPD),A. De Guzman,OPEN,19-Jul-23,,,
203,26,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,Orient apperance about slighty pulling of grommet.,Orient apperance about slighty pulling of grommet.,QA-Final ,,OPEN,,,,
204,4,SUZUKI,"YLP
INPANEL",5112,Lacking bendable cover on all assy board,Request to put bendable cover on all lacking jig at assy board,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
205,7,SUZUKI,"YLP
INPANEL",5112,Caution tag on Dimension board as a reference of similar parts,Request to put caution tag regarding similar parts,QA-Final ,,OPEN,,,,
206,11,SUZUKI,"YLP
INPANEL",5112,Remove all Not applicable connector jig at sub assy ,Request to remove all not applicable connector jig on all sub assy process,PRODUCTION,,OPEN,,,,
207,13,SUZUKI,"YLP
INPANEL",5112,'No E-bag on assembly associate,'Request to provide e-bag to all assy associate ,PE-FABRICATION,,OPEN,,,,
208,15,SUZUKI,"YLP
INPANEL",5112,Additional cover for not applicable jig per product,Request to provide  cover on assembly  jig with not applicable during running product to avoid wrong layout,ME-Initial (Preparation),Donna,OPEN,31-Jul-23,,,
209,16,SUZUKI,"YLP
INPANEL",5112,Conn.23 not   pokayoke jig PB-H-2FC(B),Request to pokayoke the jig of PB-H-2FC (B)since it was removing during assemble ,PE-BAE (ASSY DEV),,OPEN,,,,
210,24,SUZUKI,"YLP
INPANEL",5112,'No connector picture on sub assy,Request to put connector picture on sub assy,PE-FABRICATION,,OPEN,,,,
211,25,SUZUKI,"YLP
INPANEL",5112,NG wire catcher on sub 5/13,Reques to repair wire catcher on sub 5 /13,PE-FABRICATION,,OPEN,,,,
212,30,SUZUKI,"YLP
INPANEL",5112,OI not updated on assembly and shiage board,Request to put OI on assembly and shiage board,ME-NPI (MPPD),April,For confirmation,5-Jul-23,,,
213,32,SUZUKI,"YLP
INPANEL",5112,Connector SLE-6F # 49 pass on circuit even half lock the retainer lock,Request to conduct checking on ECT process the rootcause why conne.49 pass even half lock the retainer lock,PE-BAE (ECT),Sherwin,OPEN,31-Jul-23,,,
214,33,SUZUKI,"YLP
INPANEL",5112,OI on ECT not updated,Request to update all OI on ECT process for the reference during process,ME-NPI (MPPD),April,For confirmation,15-Jul-23,,,
215,34,SUZUKI,"YLP
INPANEL",5112,Associate is not aware regarding what to do to falling parts.,Re-orient associate regarding what to do in falling parts.,PRODUCTION,J. Matibag,OPEN,,,,
216,3,SUZUKI,"Y2R
DOME LAMP",5126,Incomplete sample drawing on sub assy connector jig.,Coordinate to Labeling.,PE-FABRICATION,,OPEN,,,,
217,6,SUZUKI,"Y2R
DOME LAMP",5126,'No provide ebag on assy process.,Already requested.,PE-FABRICATION,,OPEN,,,,
218,2,SUZUKI,"YD1
DVD",5031,Lacking  OI at assembly process.,Coordinate to PE-MPPD.,ME-NPI (MPPD),April,OPEN,28-Jul-23,,,
219,5,SUZUKI,"YD1
DVD",5031,Sub assy associate is unaware on insertion of shikakari 10mm far from finger of operator,Conduct orientation for distance of holding shikakari during insertion,PRODUCTION,,OPEN,,,,
220,9,SUZUKI,"YD1
DVD",5031,'Loose jigs on option board,Coordinate to AME to tighten the loose jigs on option board.,PE-BAE (Maintenance),Shawn,OPEN,14-Aug-23,,,
221,6,SUZUKI,YD1 INPANEL,5123,"Too far clamp jig CL-60160-W,D
(ALL BOARDS)","Request to adjust  clamp jig to CL-60160-W,D",PE-BAE (ASSY DEV),,OPEN,,,,
222,7,SUZUKI,YD1 INPANEL,5123,Provide receiving jig on shiage conn.13,Request to  provide receiving connector on shiage process.,PE-BAE (ASSY DEV),K. De Grano,OPEN,28-Jul-23,,,
223,9,SUZUKI,YD1 INPANEL,5123,Lacking E-BAG,Completion  of E-bag request  for all new/old MP with missing and NG E-bag,PRODUCTION,,OPEN,,,,
224,13,SUZUKI,YD1 INPANEL,5123,No installed Bendable jig on assy boards,Provide  Bendable jig  in all assy board,PE-BAE (Maintenance),,OPEN,,,,
225,14,SUZUKI,YD1 INPANEL,5123,Damaged  tape box on option  taping.,Request to repair all  damaged tape box  on option.,PE-FABRICATION,,OPEN,,,,
226,16,SUZUKI,YD1 INPANEL,5123,Dirty vinyl sheet  on  dimension  board ,Request to  changed  vinyl sheet on dimension board .,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
227,17,SUZUKI,YD1 INPANEL,5123,Damaged spring on ect  jig ,Request to repair damaged spring on  ect board .,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
228,18,SUZUKI,YD1 INPANEL,5123,NG Wire Catcher on Sub Assy,Repair wire catcher.,PE-FABRICATION,,OPEN,,,,
229,19,SUZUKI,YD1 INPANEL,5123,Good and NG status not included in Grommet OI,Include Good and NG status of grommet in OI,ME-NPI (MPPD),,OPEN,,,,
230,20,SUZUKI,YD1 INPANEL,5123,"Good and No Good criteria of grommet inner mounting, and precautions of wire biting not indicated in OI.",Include Good and No Good criteria of grommet inner mounting and precautions of wire biting not indicated in OI.,ME-NPI (MPPD),,OPEN,,,,
231,21,SUZUKI,YD1 INPANEL,5123,Lacking OI and not updated OI and SOT.,Provide complete updated OI and SOT,ME-NPI (MPPD),,OPEN,,,,
232,22,SUZUKI,YD1 INPANEL,5123,Associate is not following sequence of putting parts in 1-set supply box.,Re-orient associate on standard process of sequence in 1-set supply box.,PRODUCTION,,OPEN,,,,
233,23,SUZUKI,YD1 INPANEL,5123,"No spacer on toridashi jig.
Board 19, 20, 18, 4, 12",Provide spacer on toridashi jig.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
234,24,SUZUKI,YD1 INPANEL,5123,Not updated checksheet of color sensor,Provide updated check sheet of color sensor.,PRODUCTION,,OPEN,,,,
235,25,SUZUKI,YD1 INPANEL,5123,Inspector on appearance doesn't understand the inspection standard and inspection methodsfor each inpection site.,Re-orient associate on inspection standard and inspection methods.,QA-Final ,,OPEN,,,,
236,26,SUZUKI,YD1 INPANEL,5123,"Not all jigs are pokayoke.

Some are common jigs.",Provide pokayoke jigs.,PE-BAE (ASSY DEV),,OPEN,,,,
237,27,SUZUKI,YD1 INPANEL,5123,Associate is not following the standard way of attaching off-set clamp.,Re-orient associate on following standard way of attaching off-set clamp.,PRODUCTION,,OPEN,,,,
238,28,SUZUKI,YD1 INPANEL,5123,Associate is not following the standard way of inserting shikakari on layout. It should be 10mm away from finger to the rear end of installation barrel.,Re-orient associate on standard way of inserting shikakari.,PRODUCTION,,OPEN,,,,
239,29,SUZUKI,YD1 INPANEL,5123,'Associate doesn't understand the bending frequency or number of terminal insertion mistakes.,Re-orient associate on bending frequency,PRODUCTION,,OPEN,,,,
240,30,SUZUKI,YD1 INPANEL,5123,No reference picture for similar connectors on the same branch on dimension inspection.,Provide reference picture for similar connectors on dimension inspection.,QA-Final ,,OPEN,,,,
241,31,SUZUKI,YD1 INPANEL,5123,Missing wings of checker jig on ECT.,Provide checker jig wings.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
242,32,SUZUKI,YD1 INPANEL,5123,No workload division on Appearance Inspection,"Confirm if 2 manpower on process design.

Note: 2 manpower are inspecting",QA-Final ,,OPEN,,,,
243,4,SUZUKI,YD1 DOOR,5135,No cover of bendable jig,Coordinate to AME to put bendable cover on assembly board.,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
244,5,SUZUKI,YD1 DOOR,5135,No checker jig name.,Coordinate to responsible group.,PE-BAE (ECT),Teresa,OPEN,17-Jul-23,,,
245,7,SUZUKI,YD1 DOOR,5135,Not using option taping box.,Coordinate to fabrication to remove 1 option taping box.,PE-FABRICATION,,OPEN,,,,
246,9,SUZUKI,YD1 DOOR,5135,Loose tape holder,Repair tape holder,PE-FABRICATION,April,OPEN,17-Jul-23,,,
247,10,SUZUKI,YD1 DOOR,5135,Lacking OI on Assy,Post complete OI,ME-NPI (MPPD),April/Aisa,For confirmation,,,,
248,13,SUZUKI,YD1 DOOR,5135,Component box on last station is not flit when 1-set supply are all used.,Re-orient associate to flit the box when 1-set supply are all used.,PRODUCTION,,OPEN,,,,
249,13,SUZUKI,YD1 DOOR,5135,Associate is careless when unloading wire harness.,Re-orient associate on standard way of unloading harness.,PRODUCTION,,OPEN,,,,
250,14,SUZUKI,YD1 DOOR,5135,Associate is not aware on allowable bending frequency and what to do if they encounter bend terminal.,Re-orient associate regarding allowable bending frequency and standrad way of what to do when encountered bend terminal.,PRODUCTION,,OPEN,,,,
251,15,SUZUKI,YD1 DOOR,5135,No proper setting and handling of harness.,Re-orient associate on proper way of handling harness.,PRODUCTION,,OPEN,,,,
252,16,SUZUKI,YD1 DOOR,5135,NG Back wire plastic and ECT stand,Repair ECT stand,PE-BAE (Maintenance),Shawn,OPEN,28-Aug-23,,,
253,17,SUZUKI,YD1 DOOR,5135,"Loose jig on Option Taping process.

U-Jig10",Repair loose jig,PE-BAE (Maintenance),Shawn,OPEN,28-Aug-23,,,
254,18,SUZUKI,YD1 DOOR,5135,Associate is not aware on standard way of inspection on Appearance.,Re-orient associate on standard way of inspection.,QA-Final ,,OPEN,,,,
255,11,SUZUKI,YD1 BTRY/CURTAIN AB/ FR FOG LP/ DOME LAMP,5018,Some jigs are not pokayoke.,Verify jigs needed to change to pokayoke.,PE-BAE (ASSY DEV),K. De Grano,OPEN,20-Jul-23,,,
256,12,SUZUKI,YD1 BTRY/CURTAIN AB/ FR FOG LP/ DOME LAMP,5018,No bendable jig cover.,Provide bendable jig cover,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
257,1,HONDA,3MOA Floor,3138,"Faded Upper line limit on connector tupper box
(Almost all sub)",Repair the faded upper line limit of connector tupper box,PE-FABRICATION,,OPEN,,,,
258,2,HONDA,3MOA Floor,3138,"NG Wire catcher
Almost all sub",Request to repair all NG wire catcher at sub assy process,PE-FABRICATION,,OPEN,,,,
259,3,HONDA,3MOA Floor,3138,No upper line limit on connector tupper box on sub 3,Repair the faded upper line limit of connector tupper box,PE-FABRICATION,,OPEN,,,,
260,5,HONDA,3MOA Floor,3138,No connector label at sub 3,Repair the connector label,PE-FABRICATION,,OPEN,,,,
261,10,HONDA,3MOA Floor,3138,Associate did not confirm the condition of wire in the grommet during and after sub assy process.,Conduct orientation to check the condition of wire in the grommet during and after sub assy process,PRODUCTION,,OPEN,,,,
262,11,HONDA,3MOA Floor,3138,Worn out OI on bukumi board 5,Request to replaced worn out OI,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
263,12,HONDA,3MOA Floor,3138,Associate did not perform 3x pulling of grommet tail on bukumi process,"Conduct orientation to conduct 3x pulling of grommet tail
Include on OI",ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
264,13,HONDA,3MOA Floor,3138,Good and No Good condition of grommet was not indicated on OI,Request to Include on OI the good and no good condition of grommet.,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
265,14,HONDA,3MOA Floor,3138,Wire biting on grommet was not indicated on OI.,Request to include wire biting on OI.,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
266,15,HONDA,3MOA Floor,3138,Associate did not apply lubricant during process.,Conduct orientation to apply lubricant on grommet.,PRODUCTION,,OPEN,,,,
267,16,HONDA,3MOA Floor,3138,50 mm rolling down fixing tape was not indicated on OI,Request to include on OI the 50 mm rolling down fixing tape,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
268,17,HONDA,3MOA Floor,3138,Grommet expansion diameter was not indicated on OI,Request to include on OI the grommet expansion diameter,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
269,18,HONDA,3MOA Floor,3138,Bando gun associate was not aware on fallen parts rule,Orient all associate on fallen parts rule,PRODUCTION,,OPEN,,,,
270,19,HONDA,3MOA Floor,3138,Confirm the height of jig.,MPPD1 will confirm the height of Jig.,PE-BAE (ASSY DEV),,OPEN,,,,
271,20,HONDA,3MOA Floor,3138,Tupper box was not fix on parts rack,Request to fix the tupper box,PE-FABRICATION,,OPEN,,,,
272,21,HONDA,3MOA Floor,3138,"NG jig on assembly board
Put red tag in NG jig on assembly board",Put redtag and coordinate to AME,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
273,22,HONDA,3MOA Floor,3138,"Color indication on conn jig 
( per applicable product)",Put color indication on conn jig,ME-FIE-PE (FMEA),,OPEN,,,,
274,23,HONDA,3MOA Floor,3138,Old revision of OI on assembly process,Coordinate MPPD to revise the OI on assembly process,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
275,24,HONDA,3MOA Floor,3138,No sequence no. on tape box in option taping,Provide sequence no. on tape box in option taping ,PE-FABRICATION,,OPEN,,,,
276,25,HONDA,3MOA Floor,3138,Sequence no. 28 on option taping is already worn out,Coordinate to MPPD to provide seq. no in option taping,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
277,26,HONDA,3MOA Floor,3138,Associate did not know what to inspect in grommet in appearance inspection,Conduct orientation on how/what to inspect grommet on appearance inspection base on OI,QA-Final ,,OPEN,,,,
278,27,HONDA,3MOA Floor,3138,No tupper box for alignment jig on appearance inspection,Request to put tupper box for alignment jig on appearance inspection,PE-FABRICATION,,OPEN,,,,
279,30,HONDA,3MOA Floor,3138,Some associates has no provided E-bags,Request on supply to have e-bags ,PRODUCTION,,OPEN,,,,
280,31,HONDA,3MOA Floor,3138,Operator was not conducting twice pulling of shikakari on applicable product.,Conduct orientation to associate about the indication where will you conduct pulling 2 times. ,PRODUCTION,,OPEN,,,,
281,32,HONDA,3MOA Floor,3138,No bendable cover/ Lacking bendable cover,Request lacking bendable cover,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
282,1,HONDA,3MOA Floor,3139,"Faded Upper line limit on connector tupper box
(Almost all sub)",Repair the faded upper line limit of connector tupper box,PE-FABRICATION,,OPEN,,,,
283,2,HONDA,3MOA Floor,3139,No upper line limit on connector tupper box on sub 3,Repair the  limit of connector tupper box,PE-FABRICATION,,OPEN,,,,
284,4,HONDA,3MOA Floor,3139,No connector label at sub 3,Repair the connector label,PE-FABRICATION,,OPEN,,,,
285,8,HONDA,3MOA Floor,3139,Associate did not perform 3x pulling of grommet tail on bukumi process,"Conduct orientation to conduct 3x pulling of grommet tail
Include on OI",ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
286,9,HONDA,3MOA Floor,3139,Good and No Good condition of grommet was not indicated on OI,Request to include on OI the good and no good condition of OI.,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
287,10,HONDA,3MOA Floor,3139,Wire biting on grommet was not indicated on OI.,Request to include wire biting on OI.,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
288,11,HONDA,3MOA Floor,3139,50 mm rolling down fixing tape was not indicated on OI,Request to include on OI the 50 mm rolling down fixing tape,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
289,12,HONDA,3MOA Floor,3139,Grommet expansion diameter was not indicated on OI,Request to include on OI the grommewt expansion diameter,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
290,14,HONDA,3MOA Floor,3139,Confirm the height of jig,Request to check the height of jig,PE-BAE (ASSY DEV),,OPEN,,,,
291,15,HONDA,3MOA Floor,3139,"NG jig on assembly board
         Put red tag in NG jig on assembly board
* Misaligned 225 clamp jig
* Board 8; missing e-tanmatsu, no jig, no s-pin
* Board 6; NG U-Jig near Clamp 39, misaligned 251
* Board 4; NG color e-tanmatsu connector 450, No Jig Cover, No S-Pin, Hard to bend, Loose Jig",Put redtag and coordinate to AME,PE-BAE (Maintenance),Shawn,OPEN,14-Aug-23,,,
292,16,HONDA,3MOA Floor,3139,"Color indication on conn jig 
( per applicable product)",Put color indication on conn jig,ME-FIE-PE (FMEA),,OPEN,,,,
293,17,HONDA,3MOA Floor,3139,Old revision of OI on assembly process,Coordinate MPPD to revise the OI on assembly process,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
294,18,HONDA,3MOA Floor,3139,Didn't remove the tape option even not applicable,Re-orient the associate to follow the standard rule on their process ,PRODUCTION,,OPEN,,,,
295,19,HONDA,3MOA Floor,3139,NG catcher on lay out process,Coordinate on Fabrication to fix the NG catcher,PE-FABRICATION,,OPEN,,,,
296,21,HONDA,3MOA Floor,3139,Incomplete E-bag,Already request E-bag for the associate,PRODUCTION,,OPEN,,,,
297,22,HONDA,3MOA Floor,3139,Checker jig wings are damaged,Coordinate to AME,PE-BAE (Maintenance),Shawn,OPEN,14-Aug-23,,,
298,23,HONDA,3MOA Floor,3139,Checker 105 the circuit of suru clamp was not able to detect the presence suru clamp,Coordinate to AME,PE-BAE (ECT),Teresa,OPEN,12-Jul-23,,,
299,24,HONDA,3MOA Floor,3139,Misaligned 225 clamp jig (Loose),Request to align clamp jig 225,PE-BAE (Maintenance),Shawn,OPEN,14-Aug-23,,,
300,25,HONDA,3MOA Floor,3139,"• Not following the standard OI of taping the offset
  clamp
• Not using clamp",Conduct orientation about the use of jig and the taping method based on OI,PRODUCTION,,OPEN,,,,
301,26,HONDA,3MOA Floor,3139,Associate is not checking the condition of nameplate.,Conduct orientation to associate about the checking of nameplate,PRODUCTION,,OPEN,,,,
302,27,HONDA,3MOA Floor,3139,No ink on Alignment check jig at Alignment Inspection,Refill ink on Aligment Jig.,PE-EQ-FINAL,,OPEN,18-Jul-23,,,
303,28,HONDA,3MOA Floor,3139,NG Work load Division on Dimension Inspection,Put workload division in Dimension Process,QA-Final ,,OPEN,,,,
304,29,HONDA,3MOA Floor,3139,Application of Lubricant was not included on OI,Request OI to include the application of lubricant to grommet,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
305,30,HONDA,3MOA Floor,3139,Fixing Taping on Grommet Tail was not included in OI,Request OI to include the fixing taping method ,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
306,1,HONDA,3MOA Floor,3147,NG wire sub catcher on sub ,Request to repair all NG wire catcher at sub assy process,PE-FABRICATION,,OPEN,,,,
307,2,HONDA,3MOA Floor,3147,Good and No Good condition of grommet was not indicated on OI,Request to nclude on OI the good and no good condition of OI.,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
308,4,HONDA,3MOA Floor,3147,No connector label at sub 5,Repair the connector label,PE-FABRICATION,,OPEN,,,,
309,5,HONDA,3MOA Floor,3147,Wrong layout,Request to cover for not applicable conn.,ME-FIE-PE (FMEA),,OPEN,,,,
310,6,HONDA,3MOA Floor,3147,Wire biting on grommet was not indicated on OI.,Wire biting on grommet was not indicated on OI,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
311,8,HONDA,3MOA Floor,3147,50 mm rolling down fixing tape was not indicated on OI,Request to include on OI the 50 mm rolling down fixing tape,ME-NPI (MPPD),SAM,OPEN,31-Jul-23,,,
312,9,HONDA,3MOA Floor,3147,Some associates has no provided E-bags,Request on supply to have e-bags ,PRODUCTION,,OPEN,,,,
313,11,HONDA,3MOA Floor,3147,"Wrong layout
(per applicable product)",Put color indication on conn jig,ME-FIE-PE (FMEA),,OPEN,,,,
